字段,标题1
"I wonder about your expectations around a boost from cannabis merchants selling online.  Do you really think this will happen in a legal environment, or are you expecting criminal elements to participate via Shopify?  Legalization in Canada is a societal disaster waiting to happen, so we should not expect to see participation from a high-profile eCommerce site such as Shopify.",
"Again, SMRE, another well written, well thought through article. No doubt your retirement will come early. When do you think the company will commence focusing more effort on controlling costs and improving their bottom line. When will they be able to grow up and operate normally on their cash flow without diluting their shares or borrowing more money in pursuit of future growth ? Or is “now” not the time....because the international markets are out there waiting for Shopify to arrive..?",
with all the comparisons to Amazon no one mentions that Amazon's yoy growth never exceeded about 40%.,
"""We are buyers of the dip.""You may be asked to double dip this one. I doubt that I am alone in thinking that this one is headed south.",
"Enjoyed your analysis SMRE. Investing in SHOP all comes down to time horizon. If you are in the stock for 5-10+ years, you will make money.",
"Excellent fair article. Cover a lot of major points without any glaring bias. Well done! It's about time we got just the facts, ma'am.",
"If you really think that all biz will be online in just 10 years (which is kind of ridiculous if you ask me), then delivery co.'s look way better value than SHOP.Even with the haircut, this looks expensive by most standards. Big sell at these levels.",
Stellar article! Makes me want to be a Shopify store owner as well as a stock owner.,
"Nice article. Well thought out, great modeling, and deals with probable outcomes and trajectories.",
"Nice article. Agree 10, 15, 20 years down the road what will Shopify look like with 5,10 possibly 20 million business using their  platform. There goal now is to create and own the only retail operating platform that most businesses will ever need both online and offline. Can you imagine the data that they can collect and how they can use that data to morph into other revenue streams. We’ll see!",
Thanks for the well written article. I’ll follow you better from now on.,
Nice. I think you are right on!,Shopify: Q2'18 Earnings Review
Nice. I think you are right on!,The Smart Way To Invest In Growth Stocks
"SE: Nice article and excellent trading . Though our approaches are totally different , I commend you on skilfully trading the stock on the short side I never sold a share as I purchased a large position in 1998-99 and have a split adjusted cost basis of $2.48 per share. I was always jabbing at your work , mostly out of frustration. That said, the Capital Gains Tax was horrific for me . GILD is still an Iconic name in the History of Biotechnology. I give Kudos to the two Johns as they changed a death sentence, AIDS into a chronic managed Disease and cured Hep C. Not bad from an innovative Humanistic POV. They also spun off close to $60B in free cash flow , and by what every long holder thought  was “stupid” by buying back shares. Guess how they got their Market Cap back up to ~$100B ? I believe the new Board Members as well as the existing Directors fired the two Johns because it finally hit them that to be a Large Cap  Biotech Co they needed to go from a small culture mentality to a large culture mentality, and put growth back into the equation. Neither John was willing to play that game. The stock will be back up to where even you guys will become longs.",
"I disagree with SE. Things may be finally getting interesting. Merger, filgotinib, selonsertib are the things that are going to move GILD appreciatively going forward. The old guard is gone, making the possibility of a buyout/merger more likely. Should be getting read outs on the new drugs in the coming months. HCV cloud is lifting. Still have all that cash (32 billion) on the balance sheet - what will they do? I believe patience will soon be rewarded. Adding to my position cautiously. Buckle up!",
Being short ABBV is a mistake ....,
Your correct. For some reason I thought his appointment was in Jan of 2015 but it was in Jan of 16. This company could very well end up being merged or directly bought out and that 22 B disaster would be the reason.,
"I would comment, but I am not on ""the same level as Shock Exchange"" because I have never written an article.Cheers.",
"I am comfortable selling 2020 puts at $70 when the stock is down. Doing ok with the 2019 75’s as well for now, but the future is still questionable with this company as they screwed up bad the last few years",
Short ABBV? Sounds dangerous!,
"SE you are RIGHT.. THIS IS BOTTOM for GILD SP - but TELL US ""Exactly"" WHY?The point is, the 4 TAF drugs are growing quarter to quarter - and accounted for the $500 Million dollar jump in Q2 2018 revenues from $5.1B to $5.65B. These 4 TAF drugs have been increasing since their introduction years ago - by similar amounts every Quarter. AND … will add another $400 MILLION to Q3 2018 revenues for close to $6B total. No one is seeing this (or mentioning where the $500M increase came from in Q2 2018). Add in old Truvada (which is jumping by $100M+ a quarter) and you got GROWTH again ... a BOOMer in 2018. Descovy (+$44M) Odefsey (+40M) Genvoya (+80M) (to $1.16B - more than all HCV). Biktarvy (+150M) just ramping up. I see total $350M in Q3 2108 Biktarvy will start eating into Genvoya sales - they say - but it hasn't happened yet - or Genvoya is still growing on it's own account. Truvada (+150 in USA only Q2 2018) TOTAL - $464M.I RATE GILD A BUY.",
"Applause, applause, SE! If you decide to close this chapter of the GILD drama, I guess we've seen the bottom already.As an SA analyst covering GILD, did you actually change the theme of GILD assessment a quarter earlier and quit your short position accordingly? You could have had come out $10/share  richer than doing so just recently. Anyway it's a moment of a little celebration for GILD longs (if there are still some out there).Thanks for your diligent work, SE!",
Welcome back. BUY ABBV GILD !!!,
"Long GILD, ABBV.   And would like to add to my ABBV shares at a lower level. :-)Gilead and Abbvie are buy and hold forever stocks.  They should be bought whenever share price appeared attractively priced.   They are never a sell.I would stay the course no matter what happens.",
"dunno shock, too much uncertainty ahead.",
Rather interesting change of heart from a slew of negative articles on Gilead Sciences SE. What significant new trends are you seeing now that weren't already evident with the last earnings release?,
@ sbally4   I think he was shorting ABBV.,
How could you rate it a hold and at the same time short the stock? The two actions are at odds with each other.,
I think the departures are a chance for a clean slate. Good for Gilead to transition now. I think it's overly optimistic to hope for a mega merger with another pharma company.,
You were right 3 - 4 years ago!!  I discounted your article to my folly. I fell in love with the science at $gild. My capitalism smiles at this article. My humanitarianism is already appeased,
"Wow SE,You have nothing to say about the two John's (Martin and Milligan) leaving?  How could that be!",Gilead: Is The Drama Over?
"Wow SE,You have nothing to say about the two John's (Martin and Milligan) leaving?  How could that be!",CACI International: A Good IT Defense Contractor With A Favorably Valued Stock
"Wow SE,You have nothing to say about the two John's (Martin and Milligan) leaving?  How could that be!","Endava IPO: Double-Digit Revenue Growth, CFO Growth, But Expensive At 4.2x Forward Sales"
"Third Point LLC's letter to investors (Jul-24) is pretty positive on Venmo.  Not because they are making money, but because of the growth rate in transactions (as you have noted).  They see future monetization of Venmo as a sizable opportunity.They also believe that PayPal can cut expenses, although not sure where that would take place.  I've been long V for a while and and follow them pretty close, really like their expansion into Europe.  Just recently picked up PayPal.",
