字段,标题1
"Netflix originals ARE proprietary.  The success of shows like Orange is The New Black, Stranger Things, and House of Cards allows NTFLX to raise prices, while retaining high volume.",
buy netflix because everyone seems watching netflix,
"NFLX bears underestimate Netflix price power by a mile. Pay TV is $100 by average. Why Netflix can't be $50 monthly in a few years? Other than Sports and News, it has everything except commercials.",
"All this same noise was spouted about Nvidia last year, exact same criticisms and worries and then it had a bad day or two in the summer, people sold it in fear, and by end of year it skyrocketed again. This stock is strong and has a huge moat for the time being. Wait another year or 2 and see what Disney does but even then, still a huge moat for Netflix.",
"""The worst sort of business is one that grows rapidly, requires significant capital to engender the growth, and then earns little or no money.""  -Warren BuffettThe problem for NFLX is it can't stop spending money on new content without losing subscribers.  The only path to real profitability is to raise prices.  But there in-lies the problem, consumers subscribe to NFLX due to the  perceived value.It's really a catch-22 with only obvious answer being continued hefty spending on new content (leaving minimal earnings/FCF to return to investors).  Raise prices too far and value to consumer decreases resulting in fewer subscribers.  Cut spending on new production and lose subscribers due to stale content.  Doesn't strike me as a great business model...",
"He did this with Bitcoin Trust and that shit flew off the cliff. They say he was a short caller on VRX and we know how that played out. My thing is that he called a short of like $30, I mean that's truely a small amount, I wonder how much he gained for such a small drop?",
"I agree. Netflix is a ""household name"" now and that's its moat. When people think streaming, they think Netflix. I usually use Google = search as the parallel metaphor, but Salesforce is a good metaphor too.Disney, Amazon and Apple can carve out a part of the market without harming Netflix (or each other) because unlike Salesforce, one subscription does not preclude subscribing to another. (I work in a biz where we've considered using Salesforce and let's just say it ain't $8/month hah.)",
NFLX dropping to $300 isn't a crazy prediction as its more than possible if the market drops a bit . Seems like a pretty standard correction (10% off the highs) and i'm assuming they would close their short at $300. Pretty tame to me and certainly possible regardless of NFLX performance given larger market factors.,
"The prospects are strong for the future of NFLX, but come on, we've reached the irrational exuberance phase here.Stock is up 70% this year, and a 5% drop is a good opportunity to buy? Is it just going to keep rising at 35% a month? Let's be a little realistic with expectations, it needs to consolidate or even pull back a little, just my .02.",
Noise folks BUT the next earnings report in mid April could go either way.  It may pull back simply because the expectations will be set very high.  With that said I would add on any pull back but leading up to the next earnings I think it will continue to keep going up so hang on for the ride.,
"Left is a hack and a tool.  Still waiting on his supposed follow up research to all the fraud he accused SHOP of engaging in by cooking sub #'s.  SHOP took the hit for a month or so but has recovered nicely since.  Good to see NFLX investors totally blew him off.  This was first reported 2 days ago and NF has only moved with the rest of the markets since.  It could very well end up below 300 at some point, but it won't be because of him.",
"that virtuous circle is spinning exponentially increasing negative cash flow.  It stops hard the very second a major bondholders starts saying 'uhhhh, at this rate is there gonna be enough left for me at maturity?'",
"The stock has not been trading at 315 since yesterday, so why would you say RIGHT NOW that it's trading at 315 when it is in fact above 320 and right at 323 as of the time the article went up?  Trying to sensationalize?",
I agree. He did this with Nividia,
"WELL, the netflix LOW today was 317 so how the hell can you post an article right NOW saying it IS trading at 315.  315 was YESTERDAY, so I guess maybe try harder or are we trying to fuel a short run?",
I wonder if Citron is still short EXAS?,
Author:  Great stock...but I don't own any!,
Old news 😴😴,
Shorting NFLX? Are you nuts?,
"This guy seems like a total scammer. He's basically front-running his trades by entering a short position, then coming out with a ""sky is falling"" piece about a company, of which the internet and other busy-bodies get a hold of it and spread it around on Facebook (selling shares or entering short positions of their own), the stock goes down and then he buys back the shares. It's like a reverse Pump and Dump, and somehow people are falling for it.",
A 5% dip is basically noise with this stock. Not worth writing about.,"Netflix Short-Seller Citron Research Indicates Dip To $300, Opens Great Investment Window"
"No, it wil get back up over 2 again...just takes one news flash to do it! Nothing to lose at this price....very small investiment here well worth the risk from this point.imho",
"If there is no reverse merger, then this is headed for bankruptcy.","U.S. Biotech/Pharma Sector Daily Observations Letter: March 13, 2018"
"Wow, solid analysis. One thing you mentioned was trade cost going lower. I wonder if Schwab wanted to crush the competition, as interest rates rise, could change trade cost to $0, and maintain profits through margin.",
good stuff. schw will get hit in ab equity market downturn but really benefits from higher rates.,
How hard will the get hit in a downcycle?,
Author’s reply »,
i am long too,Holding Schwab
