字段,标题1
"@Vanaheimr Capital ""We believe that Carnival will be worth $65 per share within the next 2-3 years.""Are you assuming no recession in the next 2-3 years ?",
Interestingly yesterday's (01/03) Apple announcement about  China and subsequent  commentary on the middle class Chinese spending. This headline news is a potential factor on CCL performance in an intermediate term sense as they are aggressively moving into that market.,
"Many of the aging baby boomers have time and financial resources to travel. However, many of this group lack the mobility to enjoy other vacation options so a cruse is the only option.",
2019 bookings are doing well as per CEO. But if the market sells off again I could see this in the high 30s. I sold my shares in the low 60s and looking to get back in on any foray into the 30s.,
They also have a nice shareholder bonus if you cruise with them.  We have taken advantage of it several times.   Now I am just hoping that the share price stops taking on water and listing badly in the wrong direction.,Come Sail To Profits With Carnival
They also have a nice shareholder bonus if you cruise with them.  We have taken advantage of it several times.   Now I am just hoping that the share price stops taking on water and listing badly in the wrong direction.,Dick's Sporting Goods: Awaiting A Bottom Again
Now up 20%. Folks could make a LOT of money going aggressively against your advice.,
"Now up +15% since your article and ""sell"" rec. I suppose the blowout Dec. jobs report and 5% annualized wage growth are all part of the same oil price ""conspiracy.""",
"HAL has been right on with all of North America's trends, and that's why it leads in FRAC, and has grown in it very well. HAL is still running lean, and turning out the best profits it can for it's share holders, but being tied to so many others for trends, it has dragged HAL down. Like SLB and Oil prices. Being flat in revenue in the 3rd quarter in this market is out standing... This stock is currently priced about half where it should be... Bargain prices right now.  BUY",
"never fails. bought hal on monday, sold half today for 3% profit.",
"Laugh out loud funny analysis (""sell"" at a floor - or close to floor - price). If you believe the world is about to move off fossil fuels and/or will never recover from China-driven global malaise then, sure, oil is overpriced at $45 and HAL at $25. If you believe oil/gas will still power global economy and prices will rebalance as always (when most of us make our $$ on HAL) then hold or buy buy buy.",
seriously considering to begin buying HAL /write call to secure 1st buy,
hate to admit SE might be right but long term chart looks to suggest HAL is going a lot lower.  I'll buy it sub 20.,
This is very late recommendation. Selling now is just ignorant.,
"Hi SE,  Good negative article,and i agree with you,but would change the rating from sell to don't buy yet..to late to sell,probably should have done that at 60 or so....I'll buy HAL when oil turns up..Always nice to hear the other side and have a good one!!",
Interesting question. If one believes the prospects for HAL and SLB are poor the outlook for oil prices should be strong on reduced NA drilling. For some reason these stocks are trading WITH oil producers though. Makes no sense.,
Looking forward to seeing the explanation from this author when HAL climbs back to $40 next year. To be continued...,
presumably HAL management is aware of the situation in the oil patch. In the past they've shown they can handle things fairly well.  Rather than sell at new lows I'm a buyer.,
"This writer reminds me Mad Money host, Jim Cramer. Some ‘analysts’ have a peculiar style of intimidating stock prices bottoms and sell points by encouraging investors to do the opposite. Sell is buy, but is sell, sometimes it’s neither? Fun reads tho, but irrelevant.",
already priced in. way behind the curve,
Follow Shock exchange = sell at bottom and buy at top,
sell from SE is a definite buy in my experience. Made $$$ going long upon this author's sell recomendations.,
Sell at 25! Buy at 50!,
"If the USA is working it's way to be energy independent and a very large oil producer, won't they need HAL services to accomplish this?","If Schlumberger Catches Cold, Will Halliburton Catch Pneumonia?"
"@Ben Holden-Crowther The tax argument doesn't really work because clients can transfer entire accounts to a new provider without losing any of the tax benefits.The list of competitors should really include Interactive Investors, which has launched a new ""Netflix""-like set of price packages early this year.",
"I appreciate that. It was just a comment considering how long-term mutual fund holders have upset the fund industry and e headed for the exits for ETF's, no longer wanting to pay for managers wo are under performing the markets. It has hit the US and Canada.",
"Having trouble with ""lifetime customers"". GM, Ford, and Chrysler thought they had those.",
"Shifting to other platforms and apps will result in not being able to gain or retain tax incentives.Good article, I would point out a little ""shalowness"" in analysis, if I may.",
"Hargreaves Lansdown will soon go bust.Similar to Robinhood in the US, free trading apps are coming to the UK within the next 6-12 months: Freetrade.io , DeZiro (DeGiro), BuxWhy would anyone pay management fees, trading fees to HL for something that is offered for free?",Hargreaves Lansdown: Buy On A Pullback Then Hold For The Long-Term
"Very sad what’s happened to CLD. Clean, socially responsible and ethical corporate citizen that was literally destroyed by the United States Government. Thanks Barack! Thanks man!",
"Trending Value, Thanks for your constructive input. Where do you see local sales in tons in 2019 & 2020? If CLD overcomes their production issues do you think they can go back to selling 50 million tons locally or utility demand is not there to support this ? Thanks,VS",
good article. I won't be touching this one. Tempted to buy puts,
It isn’t that complicated. The surety bond providers can demand more collateral if they determine they need it based on their risk assessment of CLD. The only thing that is complicated is to know when they might ask for more. What is clear is that it won’t take much for CLD to be a company without a credit agreement and potentially in a  liquidity crunch that likely leads to chapter 11 if the surety bond providers want more collateral.,
"atleast with BK announcement, there had been a Kick back after dropping from $2. But with this price of $.28 😂😂😂 I guess BK call won't do much for a Kick back...0.11 to 0.15 maybe lol. I really hope they sell some of their assets to go a little better at the S.P.",
too complicated,
